distance	query	complete_suggestion	full_complete
0	maxmara weekend	max mara weekend	max mara weekend mantel
0	maxmara weekend	max mara weekend	max mara weekend blazer
0	maxmara weekend	maxmara weekend	maxmara weekend us
2	пальто max co	пальто max	пальто max mara копии
0	maxmara weekend	max mara weekend	max mara weekend sale
2	пальто max co	пальто max	пальто max mara купить
0	maxmara платье	max mara платье	max mara платье купить
2	mo co	mos	mos.ru вход
2	юбка max co	юбка max	юбка max mara weekend
0	футболка изхлопка	футболка из хлопка	футболка из хлопка
2	платье max co	платье max	платье max mara цена
2	платье max co	платье max	платье max mara weekend
0	s maxmara	s maxmara	s maxmara coat
0	платье weekend maxmara	платье weekend max mara	платье weekend max mara
2	пуховик max co	пуховик max	пуховик max mara weekend
0	джемпер maxmara	джемпер max mara	джемпер max mara
0	maxmara платье	max mara платье	max mara платье черное
0	maxmara платье	max mara платье	max mara платье
0	s maxmara	s max mara	s max mara 2019
1	футболка изхлопка	футболки из хлопка	футболки из хлопка
1	rag bone	rag n bone	rag n bone man giant
2	парка max co	парка max	парка max mara weekend
0	пальто maxmara	пальто max mara	пальто max mara 2018
1	rag bone	rag n bone	rag n bone
0	s maxmara	s max mara	s max mara cube
0	футболка изхлопка	футболка из хлопка	растянулась футболка из хлопка
1	плащь	плащ	плащ палатка
1	плащь	плащ и	плащ и кинжал
0	maxmara платье	max mara платье	max mara платье 2017
0	шарф maxmara	шарф max mara	шарф max mara
0	moonboot	moon boot	moon boot me
0	maxmara пальто	max mara пальто	max mara пальто
0	d2 male	d2 male	disgaea d2 male healer
0	maxmara пальто	max mara пальто	max mara пальто 2017
0	maxmara платье	max mara платье	max mara платье
1	d2 male	2 male	diablo 2 male assassin mod
0	moonboot	moon boot	moon boot купить
0	moonboot	moon boot	moon boot monaco
1	d2 male	2 male	diablo 2 male sorcerer mod
0	maxmara платье	max mara платье	max mara платье в полоску
0	weekend maxmara платье	weekend max mara платье	weekend max mara платье
0	maxmara пальто	max mara пальто	max mara пальто 2018
2	брюки max co	брюки max	брюки max mara фото
0	пуховик maxmara	пуховик max mara	пуховик max mara
2	юбка max co	юбка max	юбка max mara weekend
2	пальто max co	пальто max	пальто max mara копии
0	сумка weekend maxmara	сумка weekend max mara	сумка weekend max mara
0	кардиган maxmara	кардиган max mara	кардиган max mara
0	юбка maxmara	юбка max mara	юбка max mara
0	платье weekend maxmara	платье weekend max mara	платье weekend max mara
1	olvi s	olvi	olvi 12 pack s market
2	пальто max co	пальто max	пальто max mara weekend
2	пальто max co	пальто max	пальто max mara купить
0	джемпер maxmara	джемпер max mara	джемпер max mara
0	шарф maxmara	шарф max mara	шарф max mara
2	платье длинный рукавом	платье с длинным рукавом	платье с длинным рукавом в пол
2	платье длинный рукавом	платье с длинным рукавом	платье с длинным рукавом
0	платье maxmara	платье max mara	платье max mara
2	пальто max co	пальто max	пальто max mara teddy bear
2	платье длинный рукавом	платье с длинным рукавом	платье с длинным рукавом выкройка
1	косуха кожаная куртка	косуха и кожаная куртка	косуха и кожаная куртка
0	maxmara жакет	max mara жакет	max mara жакет
0	stoneisland	stone island	stone island шапка
0	обувь maxmara	обувь max mara	обувь max mara
2	пуховик max co	пуховик max	пуховик max mara купить
1	tod’ s	tod s	tod s
2	dr montale	montale	dr scuotto montale
1	maxmara шарф	max mara шарфы	max mara шарфы
0	stoneisland	stone island	stone island куртка
0	sportmaxcode	sportmax code	sportmax code shop online
0	пальто weekend maxmara	пальто weekend max mara	пальто weekend max mara
2	брюки max co	брюки max	брюки max fashion отзывы
1	бюстгальтер вышивкой	бюстгальтер с вышивкой	бюстгальтер с вышивкой
0	maxmara шарф	max mara шарф	max mara шарф
0	sportmaxcode	sportmax code	sportmax code instagram
2	пуховик max co	пуховик max	пуховик max mara купить украина
0	maxmara сумка	max mara сумка	max mara сумка
0	stoneisland	stone island	stone island купить
0	платье maxmara	платье max mara	платье max mara
2	tod’ s	tod	tod tot tod
0	maxmara сумка	max mara сумка	max mara сумка купить
0	сумка maxmara	сумка max mara	сумка max mara
1	tod’ s	tods	tods tods shoes
0	пальто maxmara	пальто max mara	пальто max mara 2018
0	sportmaxcode	sportmax code	sportmax code asos
2	mo co	mơ có	mơ có bầu
2	юбка max co	юбка max	юбка max mara weekend
0	maxmara колье	max mara колье	max mara колье
0	weekend maxmara пальто	weekend max mara пальто	weekend max mara пальто
1	эко-кожа	экокожа	экокожа это
2	dsqared	dsquared2	dsquared2
0	эко-кожа	эко-кожа	эко-кожа купить
1	dsqared	dsquared	dsquared wood
