distance	query	complete_suggestion	full_complete
0	вышивка	вышивка	вышивка гладью
0	мокасины	мокасины	мокасины маниту
0	брюки с лампасами	брюки с лампасами	брюки с лампасами купить
0	moschino зонт	moschino зонт	moschino зонт купить
0	вечернее платье	вечернее платье	вечернее платье купить
0	обувь	обувь	обувь оптом
0	etro заколка	etro заколка	etro заколка
0	rochas	rochas	rochas mademoiselle rochas
0	олимпийка	олимпийка	олимпийка адидас
0	шляпа	шляпа	шляпа федора
0	юбка из денима	юбка из денима	юбка из денима
0	тренч burberry	тренч burberry	тренч burberry купить
0	deha	deha	deha hotel 3*
0	iphone	iphone	iphone 7
0	платье	платье	платье купить
0	aeronautica	aeronautica	aeronautica militare
0	стеган	стеган	стеган оьздангалла
0	moschino couture	moschino couture	moschino couture кроссовки
0	falke	falke	falke носки
0	плед	плед	плед с рукавами
0	erika cavallini	erika cavallini	erika cavallini история бренда
0	scervino пуховик	scervino пуховик	scervino пуховик
0	maison margiela	maison margiela	maison margiela replica
0	капюшон	капюшон	капюшон спицами
0	dorothee schumacher	dorothee schumacher	dorothee schumacher шапка
0	sandro	sandro	sandro paris
0	ea7 emporio armani	ea7 emporio armani	ea7 emporio armani спортивные костюмы
0	фиолетовый	фиолетовый	фиолетовый цвет
0	coccinelle сумка	coccinelle сумка	coccinelle сумка купить
0	premiata	premiata	premiata купить
0	etro пуховик	etro пуховик	etro пуховик женский
0	луноходы	луноходы	луноходы купить
0	кожаные куртки	кожаные куртки	кожаные куртки с мехом
1	ermanno schervino	ermanno scervino	ermanno scervino
0	платок etro	платок etro	платок etro milano
0	свитшоты	свитшоты	свитшоты мужские
0	s max mara	s max mara	s max mara пальто
0	платье-футляр	платье-футляр	платье-футляр купить
0	self portrait	self portrait	self portrait купить
0	сумки поясные	сумки поясные	сумки поясные женские
0	пальто с мехом	пальто с мехом	пальто с мехом купить
0	пальто max	пальто max	пальто max mara
0	dyson	dyson	dyson airwrap
0	юбка черная	юбка черная	юбка черная солнце
0	топы	топы	топы ютуба
0	плед etro	плед etro	плед etro
0	stella jean	stella jean	stella jean купить
0	etro косметичка	etro косметичка	etro косметичка
0	спортивный костюм bosco	спортивный костюм bosco	спортивный костюм bosco russia
0	кардиган	кардиган	кардиган спицами
0	kilian	kilian	kilian black phantom
0	molo	molo	molo купить
0	футболка	футболка	футболка поло
0	брюки на резинке	брюки на резинке	брюки на резинке женские
0	жакеты	жакеты	жакеты шанель
0	угги	угги	угги купить
0	closed	closed	closed captions
0	шарфы	шарфы	шарфы ударение
0	кепка bosco	кепка bosco	кепка bosco
0	pal zileri	pal zileri	pal zileri lab
0	джинсы	джинсы	джинсы бананы
1	monclear	moncler	moncler перевод
0	косметичка	косметичка	косметичка купить
0	eton	eton	eton shirts
1	alberta feretti	alberta ferretti	alberta ferretti dress
0	норка	норка	норка фото
0	кепка	кепка	кепка поло
0	парфюм	парфюм	парфюм лидер
0	пояс	пояс	пояс койпера
0	рубашка лен	рубашка лен	рубашка лен женская
0	ежедневник	ежедневник	ежедневник купить
0	артек	артек	артек дети
0	купальник	купальник	купальник купить
0	piquadro	piquadro	piquadro wallet
0	il trenino	il trenino	il trenino шапки купить
0	chloe	chloe	chloe cluchey
0	лонгслив	лонгслив	лонгслив это
0	versace	versace	versace bright crystal
0	платок	платок	платок на шею
0	из шерсти	из шерсти	из шерсти что делают
0	майка	майка	майка монро
0	coccinelle рюкзак	coccinelle рюкзак	coccinelle рюкзак clementine
0	hermes	hermes	hermes birkin
0	msgm	msgm	msgm купить
0	khrisjoy	khrisjoy	khrisjoy пуховик
0	кожаные перчатки	кожаные перчатки	кожаные перчатки купить
0	пальто прямого кроя	пальто прямого кроя	пальто прямого кроя выкройка
0	шкатулка	шкатулка	шкатулка для украшений
0	lancaster	lancaster	lancaster сумки
0	пиджаки	пиджаки	пиджаки 2019
0	жилет пуховый	жилет пуховый	жилет пуховый мужской
0	etro джемпер	etro джемпер	etro джемпер
0	толстовка на молнии	толстовка на молнии	толстовка на молнии с капюшоном
0	парка	парка	парка с мехом
0	удлиненный пуховик	удлиненный пуховик	удлиненный пуховик с поясом
0	weekend max mara	weekend max mara	weekend max mara купить
0	блузка	блузка	блузка с баской
0	kiehl’s	kiehl’s	kiehl’s ultra facial cream spf 30
0	кофта	кофта	кофта мужская
0	купальник слитный	купальник слитный	купальник слитный купить
0	balenciaga	balenciaga	balenciaga triple s
0	туника	туника	туника крючком
0	ручка	ручка	ручка паркер
0	weekend maxmara	weekend maxmara	weekend maxmara sale
0	max mara брюки	max mara брюки	max mara брюки
0	косметичка etro	косметичка etro	косметичка etro цена
0	чехол iphone	чехол iphone	чехол iphone xr
0	покрывало	покрывало	покрывало на кровать
0	twinset	twinset	twinset milano
0	парка меховая	парка меховая	парка меховая женская
0	qweasd	qweasd	qweasd meaning
0	ermenegildo zegna	ermenegildo zegna	ermenegildo zegna uomo
0	tory	tory	tory lanez
0	alberta	alberta	alberta ferretti
0	спортивные костюмы	спортивные костюмы	спортивные костюмы адидас
0	леггинсы	леггинсы	леггинсы купить
0	румяна	румяна	румяна буржуа
0	куртки	куртки	куртки весна 2019
0	love moschino	love moschino	love moschino сумка
0	max mara teddy	max mara teddy	max mara teddy bear
0	бабочка	бабочка	бабочка адмирал
0	дутики	дутики	дутики мужские
0	жилеты	жилеты	жилеты женские
0	bosco sport	bosco sport	bosco sport купить
0	aveda	aveda	aveda купить
0	etro серьги	etro серьги	etro серьги
1	nina richi	nina ricci	nina ricci luna
0	max mara кеды	max mara кеды	max mara кеды
0	кошелёк	кошелёк	кошелёк из бумаги
0	longchamp	longchamp	longchamp купить
