distance	query	complete_suggestion	full_complete
0	max mara	max mara	max mara teddy
0	бейсболки	бейсболки	бейсболки купить
0	юбки шерсть	юбки шерсть	юбки шерсть
0	ремень gucci	ремень gucci	ремень gucci копия
0	металлик	металлик	металлик цвет
0	для беременных	для беременных	для беременных одежда
0	жакет moschino	жакет moschino	жакет moschino
0	носки	носки	носки оптом
1	юбка-миди	юбка-миди	юбка миди
0	la perla трусы	la perla трусы	la perla трусы
0	кардиган удлиненный	кардиган удлиненный	кардиган удлиненный мужской
0	lauren	lauren	lauren sanchez
0	колготки falke	колготки falke	колготки falke купить украина
0	carrel	carrel	carrel thulb
0	c p company	c p company	c.p. company goggle jacket
0	портмоне	портмоне	портмоне это
0	giottino	giottino	giottino pieta
0	baby dior	baby dior	baby dior gift set
0	сорочка	сорочка	сорочка мужская
0	lancel	lancel	lancel гум
0	пляжная сумка	пляжная сумка	пляжная сумка крючком
0	слитный купальник	слитный купальник	слитный купальник купить
0	bosco перчатки	bosco перчатки	bosco перчатки
0	полусапоги	полусапоги	полусапоги женские
0	платья max mara	платья max mara	платья max mara weekend купить
0	жакет из шерсти	жакет из шерсти	жакет из шерсти
0	куртка из кожи	куртка из кожи	куртка из кожи крокодила
0	ободок	ободок	ободок снежинка
0	escada	escada	escada miami blossom
0	купальники	купальники	купальники спб
0	сумка moschino	сумка moschino	сумка moschino hm
0	пиджак	пиджак	пиджак фильм
0	chanel	chanel	chanel chance
0	russe	russe	russe langue
0	платье свободного кроя	платье свободного кроя	платье свободного кроя купить
0	мини юбки	мини юбки	мини юбки 2019
0	капюшон	капюшон	капюшон спицами
0	бюстгальтер пуш-ап	бюстгальтер пуш-ап	бюстгальтер пуш-ап ivy
0	max mara платья	max mara платья	max mara платья 2018
0	заколка	заколка	заколка для волос
0	chloe	chloe	chloe tasche
0	кошелек	кошелек	кошелек киви
0	bosch fresh	bosch fresh	bosch fresh center
0	etro сумка	etro сумка	etro сумка мужская
0	платье вечернее	платье вечернее	платье вечернее купить
0	наушники	наушники	наушники jbl
0	боди	боди	боди шоп
0	barbara bui	barbara bui	barbara bui обувь
0	бархат	бархат	бархат амурский
0	полупальто	полупальто	полупальто мужское
0	armani junior	armani junior	armani junior официальный сайт
0	вечернее платье макси	вечернее платье макси	вечернее платье макси купить украина
0	луноходы	луноходы	луноходы купить
0	zanotti	zanotti	zanotti shoes
1	sonya rykiel	sonia rykiel	sonia rykiel bags
