distance	query	complete_suggestion	full_complete
2	стол №1	стол no1	стол no1 рецепты
2	стол №8	стол no8	стол no8 по певзнеру
2	мн 12	мн	мн 26-0 12-1
2	сж 4	4	c 4 энергетик
2	№8	-	no8 - инвестор привилегия
0	Строй материалы	стройматериалы	стройматериалы нижний новгород
1	90х2000	90 2000	90 2000 музыка
2	№6	dj	no6 dj
2	мн 15	мн	редуксин 15 мн
1	н 59	59	59 н технические условия
2	Св 24	24	cd 24 ceresit
2	Св 4	4	cd 4 буквы
2	№6	no6	no6 поликлиника астана
2	сж 3	3	c 3 h 4
2	2 метровый стол	2-х метровый стол	2-х метровый стол
2	СЖ-	-	c - 17
2	сж 4	4	c 4 aircross
2	СЖ-	-	c - ch4
2	№11	no11	no11 диспансер наркологический
2	св 18	18	cd led 18
2	Св 24	24	cd 24 bit
2	№6б	6	#6 anime
2	мв 25	мв	мв-27
0	МебельМаркет	мебель маркет	мебель маркет вологда
2	сж-3	-3	c -3 6
2	стол №1	стол no1	стол no1 меню на неделю
1	Диван ра	диван 2 ра	диван 2 ра ръка
2	мв 25	мв	мв-25
2	стол №8	стол no8	стол no8 меню на неделю
0	МебельМаркет	мебель маркет	мебель маркет белгород
2	сж 3	3	c 3 picasso
2	сж 3	3	c 3 8
2	№6б	6	#6 screw
1	90х2000	90 2000	90 2000 года песни
1	н 59	59	59 н приказ
2	сж-3	-3	c -3 excel
1	визит 25	візит 25	візит 25 грудня
2	Мамбо сб	мамбо	мамбо сб-2678 шкаф угловой
2	стол №8	стол no8	стол no8 питание при ожирении
2	мв 25	мв	мв-27-2в
1	90х2000	90 2000	90 2000 песни
1	Н 104	104	y 104 capacitor
2	со-6	со	со скипетром 6 букв
2	№11	no11	no11 (клиническая) больница москва
2	№8	no8	no8 bus
2	мв 25	мв	мв-9
2	Св 24	24	cd 24 bit 192khz
2	№8	no8	no8 бұйрық
2	СЖ-	-	c - hotel eilat
2	№6б	6	#6 slipknot
2	мв 25	мв	мв 25-30 цена
2	мн 12	мн	мн-15
2	мв 25	мв	мв-27-1г
2	tv 2а	tv	дом 2а.tv
1	м 2.05	2.05	мит 2.05 м
2	мв 25	мв	мв-25-г
2	ск-8	ск	ск 8-3-4000
2	стол №1	стол no1	стол no1 диета
2	сж 3	3	c4h6
2	Н-93	93	н островского 93
2	Мамбо сб	мамбо	мамбо сб-2372 кровать
